रोम	के योग्य है	शहर
लिन डैन	जीता	ने मलेशिया ओपन
अपराजिता	है	लता वाला पौधा
एडॉल्फ हिटलर	संपर्क में आ गया	नस्लवादी बयानबाजी के
लॉर्ड बायरन	कहा	ने विलियम वर्ड्सवर्थ को "टर्ड्सवर्थ"
कोका-कोला कंपनी	रही है	मध्य पूर्व में कानूनी चर्चा का विषय
कोपेनहेगन शहर को	रखा गया था	लोनली प्लैनेट के शीर्ष दस शहरों में पहले स्थान पर
ओएस	है	विंडोज 8.1 का प्रत्यक्ष उत्तराधिकारी
सोहो फाउंड्री वाट ने	विकसित की	अश्वशक्ति की अवधारणा
रांची नगर निगम	था	भारत की जनगणना में एक शहर के रूप में
विराट कोहली	कप्तानी की थी	ने इंडिया क्रिकेट टीम इंडिया क्रिकेट टीम की
एल्विस प्रेस्ली की छवि	बढ़ावा देने के लिए	कोका-कोला कंपनी को
भारत	खो दिया	ने क्षेत्र
हाइड्रोजन सल्फाइड	देता है	सोडियम नाइट्रोप्रुसाइड विलयन के साथ बैंगनी रंग
फिजी	आधिकारिक	तौर पर पर्यटकों के लिए फिजी गणराज्य का मुख्य आकर्षण
जूडी गारलैंड	ने स्टूडियो प्रमुख मेयर	के निदेशक बुस्बी बर्कले से फिल्म के रूपांतरण से निकाल दिए जाने की
पुणे	स्थित है	लगभग 18° 32 पर
लिन डैन	14 अक्टूबर 1983 को जन्मे	ने ली चोंग वेई पर सेमीफाइनल जीत दर्ज की
सुभाष चंद्र	पहुंचे	बोस तट पर
जर्मन विचारक फ्रेडरिक एंगेल्स	कहा	ने झूठी चेतना
मुगल साम्राज्य	अधीन था	अंग्रेजों में जनता की राय के
इरफान खान	नजर आए थे	"कारवां" में
नाजी जर्मनी	ने ऑस्ट्रिया	को अन्य यूरोपीय शक्तियों से बहुत कम प्रतिक्रिया दी
थॉमस पेन	थे	अनुपस्थित
दक्षिण वियतनाम	उपयोग करना जारी रखा	ने लुइसियाना फ्रेंच का
स्काइप लाइट	कॉल करने में सक्षम है	वीडियो
ऑस्ट्रेलिया	थी	के पास 350 रनों की बढ़त
गवर्नर ज्योफ्री नॉर्थकोट	घोषित किया	ने हांगकांग
डेल्टा एयर लाइन्स	पूरा किया	ने नॉर्थवेस्ट एयरलाइंस के साथ एकीकरण
उप-सहारा अफ्रीका का सबसे शुष्क देश	चाहता	एक क्षेत्रीय परिवहन केंद्र बनना
भारत	बुरी तरह प्रभावित था	सीवियर एक्यूट रेस्पिरेटरी सिंड्रोम कोरोनावायरस 2 से
अनिल कपूर	निभाई	ने एक गुस्सैल युवा वकील की भूमिका
पीला रंग	सीधे	बाल
थॉमस पेन	बचने के लिए	देनदारों की जेल से
दक्षिण अफ्रीका	मिली	को काफी आलोचना
इंटरग्लोब एविएशन लिमिटेड ने	घोषणा की	19 अक्टूबर 2015 को एक प्रारंभिक सार्वजनिक पेशकश की
चार्ल्स डार्विन	अपनाया	ने "प्रकृति की अर्थव्यवस्था या राजनीति" पर लिनिअस के वाक्यांश को
सोहो फाउंड्री वॉट	लगा	गुप्त ऊष्मा के महत्व को समझने
जैसलमेर	उपनाम दिया गया है	को गोल्डन सिटी का
मुहम्मद अली जिन्ना	समर्थन कर रहे थे	मुसलमानों की हत्या का
अमेरिकी राष्ट्रपति जॉर्ज वाशिंगटन	धोखा दिया था	ने थॉमस पेन को
ब्रूस ली	थे	केनटोनीज
तीर्थ	नामक	धनुषकोटि
साम्राज्यशाही ब्रिटेन द्वारा किया गया भारत का यह विभाजन	प्रभावित हुए	भारत की के विभाजन से करोड़ों लोग
बीमा	है	अनिवार्य बचत का एक साधन
जॉर्ज बर्नार्ड शॉ	घोषणा की	ने समाजवाद के लिए कोई प्रासंगिकता नहीं होने की
हांगकांग द्वीप	गंभीर रूप से प्रभावित हुआ था	कई संकटों से
प्रथम महिला नैन्सी रीगन	समाप्त कर दिया	ने घरेलू तेल पर मूल्य नियंत्रण
भारत	समृद्ध हुआ	गुजरात के मुख्यमंत्री नरेंद्र मोदी के नेतृत्व में
पुणे	रहा	ऐसे विभिन्न राजवंशो का अंग
थॉमस जेफरसन	लिखा था	ने वाक्यांश
अठारह वर्षीय रूमी को	आराम करना है	रूमी के पिता के पास
अंग्रेजों ने	कब्जा कर लिया	महे के फ्रांसीसी-नियंत्रित बंदरगाह पर
लुई ब्रेल	को होना	तपेदिक
शक्तिवाद	भी जुड़ा है	तंत्र साधनाओं से
मैक्स बोर्न	बढ़ावा दिया	ने गणितीय भौतिकी के शिक्षण को
विराट कोहली	का जन्म 5 नवंबर 1988	को वनडे में टेस्ट सफलता मिली
विराट कोहली	खेलते थे	दिल्ली की अंडर-15 टीम के लिए
मैसूर राज्य	है	भारत गणराज्य के एक राज्य की राजधानी
एडोब फ्लैश	प्रदर्शित करने के लिए	इंटरैक्टिव वेब पेज और ऑनलाइन गेम
चपड़ा	था	विद्युत अनुप्रयोगों में
सुभाष चंद्र बोस	शुरू किया	ने अखबार
पेरिस शहर में	हैं	कई अन्य प्रकार के पारंपरिक खाने के स्थान
21वीं सदी	होगी	पारिस्थितिकी में बहाली का युग
दक्षिण भारत	है	हमारा
सोवियत रूस	मिलाने की कोशिश की	ने फ्रांस और इंग्लैंड और इंग्लैंड के साथ हाथ
संघीय बुन्देस्ताग संसद के निर्वाचित सदस्यों को	कहा जाता है	सांसद
लॉस एंजिल्स	बनाने का इरादा रखता है	पुरातत्व में एक पुनर्स्थापनात्मक न्याय-आधारित संरचना
लीबिया	प्रदान करेगा	व्यापक स्तर की सामाजिक सुरक्षा
नीरो	सीख चुका था	उस दिन
जोसेफ प्रिस्टले ने कभी	करने का विकल्प नहीं चुना	धर्मशास्त्र से संबंधित किसी भी पल की बात को
वर्ल्ड जस्टिस प्रोजेक्ट के रूल ऑफ लॉ इंडेक्स ने	स्थान दिया	सिंगापुर को
मिराबिलिस जालपा	है	कई उष्णकटिबंधीय क्षेत्रों में आम
जॉर्ज बर्नार्ड शॉ	का अंतिम	संस्कार गोल्डर्स ग्रीन क्रेमेटोरियम में किया
हारून हिलेल स्वार्ट्ज	लिखा	ने आरोन हिलेल स्वार्ट्ज ब्लॉग में
कुष्ठरोग	मिली थी	प्राचीन चीन, मिस्र और भारत की सभ्यताओं में
लेडी यूटरवर्ड के रूप में एडिथ इवांस	वर्णन किया	ने जॉर्ज बर्नार्ड शॉ का
कोका-कोला कंपनी	लौटी	नाम से पुराने फॉर्मूले पर
हिन्दू धर्म	आधारित	भक्ति पर
लुई पाश्चर	किया	ने पेब्राइन और फ्लेचरी के बीच भेद
प्रथम महिला नैन्सी रीगन	आक्रमण किया	ने ग्रेनाडा पर
गुंटूर नगर की	है	में एक कृषि शोध केंद्र
ब्रूस ली	शामिल किया	ने द ग्रेट गामा को
घबराए हुए अंग्रेजों ने	सराहना की	एक आवाज की सादगी की
जोसेफ प्रिस्टले	भी किया	ने सहज पीढ़ी और सपनों पर कुछ मौलिक कार्य
द्वितीय विश्व युद्ध	हो गया	समाप्त
लॉर्ड बायरन	थे	जब घटना घटी तब
माउंट फ़ूजी के शिखर को	वर्गीकृत किया गया है	विस्फोट के कम जोखिम के साथ सक्रिय रूप में
जमुई ज़िले	स्थापना	गुप्त, पाल और चन्देल शासकों ने की थी
देवदास गांधी	के पुत्र हैं	महात्मा गांधी
लक्ज़मबर्ग-आधारित स्काइप टेक्नोलॉजीज एसए	अधिग्रहण किया	ने वीडियो सेवा Qik का
ओसामा बिन लादेन	लड़ रहा था	अमेरिकी सरकार से
एडोल्फ़ हिटलर	बन गया	चांसलर
मुसलमान	हैं	बहुमत में
पुरुष नसबंदी	है	अधिक लागत प्रभावी, कम आक्रामक
लॉर्ड बायरन	इस्तेमाल किया	ने जॉर्ज गॉर्डन बायरन, 6वें बैरन बायरन का
मोहम्मद हामिद अंसारी	का जन्म	1 अप्रैल १९३७
पाकिस्तान	आलोचना की	ने सऊदी के रुख की
हरा	प्रतिनिधित्व करता है	स्वर्ग का
बृहस्पति ग्रह को	लगभग	जब पृथ्वी-आधारित दूरबीनों के माध्यम से देखा जाता है
अनिल कपूर	भी काम किया	ने अंतर्राष्ट्रीय फिल्मों और टेलीविजन श्रृंखलाओं में
किर्गिस्तान	आधिकारिक	तौर पर किर्गिज़ गणराज्य
रिचर्ड स्टॉलमैन	घोषणा की	ने GNU प्रोजेक्ट की
जोहाना ओस्टॉफ़ (1780 - 1809) सबसे छोटे बच्चे	मृत्यु हो गई	की अगले वर्ष
लिन डैन	नाकाम कर दिया गया था	को लिन डैन में
मुजफ्फरपुर टाउन	गठन किया गया था	को नगर पालिका का
विजू शाह ने	लिया है	नुसरत फतेह अली खान को
वर्ष में	2005	छह टूर्नामेंट के बाद एकल में नंबर 4 स्थान पर रहीं
अदरक का	भी किया जाता है	मसाले के रूप में
कतर को	स्थान मिला	ग्लोबल इनोवेशन इंडेक्स में
जीवाणु	नामक	साल्मोनेला टाइफी
Nexus 5	का कोड-नाम	हैमरहेड है
टीपू सुल्तान	माना जाता है	को दुनिया का पहला मिसाइल मैन
भारत देश	बन कर उभरा है	सॉफ़्टवेयर और बीपीओ सेवाओं का सबसे बड़ा केंद्र
फ्रांसीसियों ने	स्थापित कीं	मिसीसिपी नदी के किनारे अपनी बस्तियाँ
शंघाई	बनाए रखने के लिए	सकारात्मक वार्षिक विकास दर के साथ आर्थिक उत्पादन
बमाको ("बमक"	पहुंचता है	नाइजर नदी तक
जॉन एडम्स	जन्म दिया	ने राजनेताओं, राजनयिकों और इतिहासकारों के एक परिवार को
इज़राइल में रूसी भाषा	थी	उज़्बेकिस्तान में सबसे लोकप्रिय विदेशी भाषा
आरोन हिलेल स्वार्ट्ज	इस्तेमाल किया	ने जेएसटीओआर का
मैक्स बोर्न	सेवानिवृत्त हुए	बैड पाइरमोंट से
जवाहरलाल नेहरू	ने फैसला	किया कि एक समझौता होना चाहिए
ओसामा बिन लादेन	था	अमेरिका विरोधी
विश्वनाथन आनंद	कायम रखने में नाकाम्याब रहे	इस खीताब को
अब्राहम लिंकन	बिठाया गया	को एक झंडे में
एडोल्फ़ हिटलर	छोड़ दिया	राष्ट्रसंघ को
दुनिया के कई देशों	सहित	संयुक्त राज्य अमेरिका
एक प्रतिनिधि	कवर करने के लिए भी	जॉन एडम्स को
सेंट एंथोनी	के पुजारी हैं	पुर्तगालियों
भारत	भुगतान किया था	ने बढ़ी हुई राशि का
कोका-कोला कंपनी ने	शुरू किया	एक और वफादारी अभियान
दोस्तों	परिचय कराया	ने जोसेफ प्रीस्टले का
मैत्रिपाला सिरिसेना आवुल पकिर जैनुलाब्दीन अब्दुल कलाम	का राष्ट्रपति है	श्रीलंका
नील एल्डन आर्मस्ट्रांग	तलाशने का प्रयास किया	अपोलो लूनर मॉड्यूल सुरक्षित उतारने की जगह
पश्चिमी संयुक्त राज्य अमेरिका ने	शुरू किया	ICBM अनुसंधान
टॉलेमी	के राजा हैं	अलेक्जेंड्रिया लेखन
कई शिक्षित तंजानियावासी	भी बोलते हैं	अंग्रेजी
ब्रूस ली	थे	नास्तिक
ओजोन	प्रतिक्रिया करता है	यौगिकों के साथ
यह शब्द	प्रकट होता है	कंबोडियाई नाम के रूप में
संघवादियों ने	निंदा की	जॉन एडम्स की
भविष्य के न्यूयॉर्क मेट्स के महाप्रबंधक ब्रॉडी वैन वेगेनन आर्मस्ट्रांग	बने	सिनसिनाटी गैस एंड इलेक्ट्रिक कंपनी के बोर्ड के सदस्य
इटली	तैयार	2022 में तीसरे संस्करण की मेजबानी करने के लिए
नाजी जर्मनी	आक्रमण किया	ने पश्चिमी पोलैंड पर
नाइट्रिक अम्ल	अभिक्रिया करता है	अधिकांश धातुओं के साथ
जॉर्ज हर्बर्ट वॉकर बुश	पढ़ाई की	ने ग्रीनविच कंट्री डे स्कूल में
Oracle Corporation	आमंत्रित किया गया था	को द डॉक्यूमेंट फ़ाउंडेशन का सदस्य बनने के लिए
लुई पाश्चर	इस्तेमाल किया	ने लाइव वैक्सीन को खत्म करने के लिए पोटेशियम डाइक्रोमेट का
जर्मनी	लैस करने की जरूरत थी	को पहले जर्मन रक्षा मंत्री जनरल को फिर से
पूर्व जम्मू और कश्मीर रियासत	हो गई	फिर स्वतंत्र
भारत	ने खारिज का डिक्सन प्लान	किया पाकिस्तान
गुरु तेग बहादुर	उपदेश देते हुए	धर्म के सत्य मार्ग पर चलने का
बिल क्लिंटन प्रशासन	के राष्ट्रपति हैं	संयुक्त राज्य अमेरिका
Windows10	बनाता है	Xbox One को एक अधिक उपयोगी मशीन
डेनिस क्वैड	भूमिका में	प्रथम महिला नैन्सी रीगन की
एडॉल्फ हिटलर	भाग लिया	ने पास के फिशल्हैम में
कार्ल लिनिअस	थे	एक स्वीडिश वनस्पतिशास्त्री, जीव विज्ञानी, वर्गिकीविद और चिकित्सक
फिलीपीन एयरलाइंस	है	एशिया की पहली और सबसे पुरानी वाणिज्यिक एयरलाइन
मेनिनजाइटिस	हो सकता है	कई गैर-संक्रामक कारणों के परिणाम के रूप में
रोनाल्ड रीगन	ने बुश को अपने उपराष्ट्रपति चल रहे मेट सर्जरी के रूप में चुना	रोनाल्ड रीगन से पॉलीप्स को हटाने के लिए
लुई पाश्चर	खंडन करने के लिए	स्वस्फूर्त पीढ़ी के सिद्धांत का
ओटोमन तुर्की	का प्रतिनिधित्व	काज़िम बे ने
भारत	की जननी है	धर्मों और हिंदू धर्म
ज्यादातर फ्रेंच फैशन हाउस	द्वारा	चार्ल्स फ्रेडरिक वर्थ द्वारा पेरिस
स्काईफॉल	मिली	को आलोचकों और प्रशंसकों से आम तौर पर सकारात्मक समीक्षा
टीपू सुल्तान	भी जाना जाता है	को टाइगर ऑफ मैसूर फेथ के नाम से
स्वीडन	नाम दिया	ने फिनलैंड के इवेंजेलिकल लूथरन चर्च का
व्यापार और धन	प्रभावित किया	ने मुगल साम्राज्य को
इज़राइल में रूसी भाषा	है	आधुनिक रूस, बेलारूस, कजाकिस्तान और किर्गिस्तान में एक आधिकारिक भाषा
सऊदी अरब	पहचान करेगा	मक्का की
लुई पाश्चर	बनाया था	रेबीज रेबीज के लिए पहला टीका
फेसबुक	संकलित	PHP के लिए हिपहॉप के साथ
इंग्लैंड	सहयोग कर रहा	इंग्लैंड के गणितज्ञ जी एच हार्डी और एक सहयोगी के साथ
ब्रिटिश हाउस ऑफ कॉमन्स में बेंच	हैं	हरे
कनेक्टिकट राज्य सरकार का	है	एक लंबा समुद्री इतिहास और एक प्रतिष्ठा
हरा	है	प्रकाश और अंधकार के बीच का मध्य रंग
पेरिस की गिनती करें	इंतजार करने के लिए	दो साल और
अब्राहम लिंकन	को	अवसाद, चेचक और मलेरिया
लुई पाश्चर	प्रतिष्ठित किया गया था	को नायक के रूप में
गोदावरी नदी	है	नदियों में से एक
सूरत	घुटने टेक दिए	ने मुगलों के सामने
अब्राहम लिंकन	ने कांग्रेस पर घोषित करने का दबाव बढ़ाया	गुलामी को गैरकानूनी
डेबियन परियोजना	प्रकाशित नहीं करती है	लाइसेंसों की सूची
जॉर्ज बर्नार्ड शॉ	लौटते हैं	विषय पर
इस अनुभव	बदल दिया	ने जॉर्ज बर्नार्ड शॉ को
अर्थशास्त्र	के मतानुसार	मनुष्य के जीवन संबंधी साधारण कार्यों का अध्ययन करता है
अंडमान और निकोबार द्वीप समूह को	गया था	अनंतिम सरकारी बंदोबस्त और तत्काल आवश्यक जेल में मिला लिया
हू वॉन्ट्स टू बी ए मिलिनेयर	आधारित है	विकास स्वरुप के अंग्रेज़ी उपन्यास Q & A पर
हिटलर के पिता	का जन्म	1882 ई
लक्जमबर्ग	आधारित	स्काइप टेक्नोलॉजीज एसए संकल्पना
सीईओ मार्क जुकरबर्ग	सामना करना पड़ा	को निष्कासन का
खतना	प्रदान करता है	एचआईवी से केवल आंशिक सुरक्षा
त्साई इंग-वेन	बदलने का फैसला किया	ने चरित्र瀛को चरित्र英से
ओ उमर	कार्य किया	ने खलीफा अबू बक्र के करीबी सलाहकार के रूप में
मुहम्मद	ने हज किया	632 CE में
निएंडरथल	भी इस्तेमाल किया जा सकता है	को अपमान के रूप में
विक्टोरिया फॉल्स	सामना कर रहा है	सबसे खराब सूखे का
सुभाष चन्द्र बोस	स्थापना की	ने आर्जी-हुकूमते-आज़ाद-हिन्द की
ब्रॉडी वैन वेगेनन आर्मस्ट्रांग विमान	के महाप्रबंधक से मिला	न्यूयॉर्क
पर्यटन उद्योग	है	कंबोडिया
अरबिंदो घोष	रवाना हुए	इंग्लैंड से भारत के लिए
लक्षद्वीप	है	में प्रति 1000 पुरुषों पर 946 महिलाओं का लिंगानुपात
यूरोप	नहीं मिल सका	को बीमा
अनिल कपूर	भी दिखाई दिए	दो और हिंदी फिल्मों में
स्वचालित मेट्रो लाइनें	जोड़ने के लिए	पेरिस शहर को
विशेष रूप से ब्रिटेन और फ्रांस	शामिल हो रहे हैं	दक्षिण कैरोलिना तट के साथ युद्ध में
"न्यू यॉर्कर ने	स्वीकार किया	नादिन गोर्डिमर को
माउंट कैनोपस या कैनोपस हिल	जाना जाता है	को "मेरा-बोशी" के रूप में
मिमोसा पुडिका	है	उष्णकटिबंधीय अमेरिका का मूल निवासी
जोसेफ प्रिस्टले	नाराज कर दिया	ने कई जोसेफ प्रिस्टले को
रिकार्डो फ्रेंच - डेविस गेब्रियल बोरिक	अपनाया है	ने एक अधिक सूक्ष्म दृष्टि को
विराट कोहली	नेतृत्व भी किया	ने कुछ कप्तानों में भारतीय क्रिकेट टीम के का
एक पहाड़ी	देखने वाली	बमाको को
लैक्टिक एसिड	का उत्पादन किया गया था	शराब को खट्टा बनाने के लिए
स्लमडॉग मिलियनेयर	प्राप्त हुए	को ग्यारह बाफ्टा नामांकन
सम्मोहन	मुकाबला करता है	कैंसर और अन्य पुरानी स्थितियों से
जोसेफ प्रिस्टले	सके	राजनीतिक विवाद में उलझने से नहीं बच
मोहम्मद हामिद अंसारी	का जन्म	1 अप्रैल 1937 को हुआ था
विराट कोहली	कराया	ने भारत को 173 रनों का लक्ष्य हासिल
अहमत हम्दी अक्सेकी मस्जिद	है	अंकारा की सबसे पुरानी मस्जिद
फेडेरिको फेलिनी	समर्थन किया	ने क्रिश्चियन डेमोक्रेसी का
ओ उमर	विरोध किया	ने इस्लाम का
वैश्विक आर्थिक संकट ने	प्रभावित किया	लेसोथो को
सुन्नी इस्लाम	में	सुन्नी इस्लाम के 5 स्तंभ हैं
चपड़ा	बेचा जाता है	सूखे गुच्छे के रूप में
इराक	की केंद्रीय नियोजित	अर्थव्यवस्था ने इराकी व्यवसायों के विदेशी स्वामित्व को प्रतिबंधित कर दिया
जॉर्ज बर्नार्ड शॉ	पूरी तरह से भुला दिया जाएगा	को पचास वर्षों के भीतर
रूस	भेजा	ने संयुक्त राज्य अमेरिका को चिकित्सा सहायता के साथ एक मालवाहक विमान
अंडमान और निकोबार द्वीप समूह का अधिकांश	का हिस्सा है	भाग अंडमान और निकोबार द्वीप समूह
फेसबुक	पेश किया	ने "यूजरनेम" फीचर
अलास्का	है	महाद्वीपीय उत्तरी अमेरिका में अब तक का सबसे बड़ा राज्य
पूर्व	सहित	द न्यू अपोलो
रेस कोर्स पर आसपास की भीड़	नारे लगाने लगी	पाकिस्तान के
मन	कह रहा था	सेना में ही जाने को
अमरूद	प्राप्त होता है	जाड़े की ऋतु में
कार्ल लिनिअस	भुगतान किया गया था	को 1,000 फ्लोरिन का
श्रीनिवास रामानुजन	जानते हैं	पोलिश
कार्ल लिनिअस	चले गए	एक चिकित्सक के रूप में रोजगार खोजने के लिए
जर्मन सेना	विफल करने वाली	एडॉल्फ हिटलर को
जॉर्ज बर्नार्ड शॉ	खोज की	ने कार्ल मार्क्स के लेखन की
लक्षद्वीप	था	6.23%
पाकिस्तान	नहीं कर सकता	पूर्व जम्मू और कश्मीर रियासत युद्ध
स्काईफॉल	नहीं	कहा जा रहा
सोरायसिस	है	संक्रामक
फ्रांसीसी अल्जीरिया	बनाया	ने एक फ्रांसीसी उपनिवेश
पाकिस्तान	हुआ है	में बड़े पैमाने पर दवा प्रतिरोधी (एक्सडीआर) टाइफाइड बुखार का प्रकोप
हैदर अली	के सेनापति हैं	मैसूर साम्राज्य
लिन डैन	निर्णायक रूप से हराया	को चोटी के फॉर्म तौफिक हिदायत ने
लेडी वेंटवर्थ बच्चे	का जन्म	1814 में हुआ था
Windows10	प्रदान करता है	Microsoft Microsoft की ओर से अब तक का सबसे परिष्कृत डेस्कटॉप अनुभव
क्वालकॉम	की आवश्यकता	अन्य चिप निर्माताओं को क्वालकॉम ( ) पेटेंट का लाइसेंस देने के लिए
लॉर्ड बायरन	माना जाता है	को सबसे महान अंग्रेजी कवियों में से एक
जनरल परवेज मुशर्रफ	के राष्ट्रपति हैं	पाकिस्तान
1949	रखरखाव करता है	ऐतिहासिक स्थानों के फिलाडेल्फिया रजिस्टर का
बिद्या देवी भंडारी की	हुई थी	मदन भंडारी से
संयुक्त राष्ट्र ने	कब्जा कर लिया	वियना पर
बैंगलोर (), जिसे आधिकारिक तौर पर बेंगलुरु के रूप में जाना	मिला	जाता है, को बैंगलोर
भारतीय रेलवे	ले जाने के लिए रेलवे पुल का उन्नयन किया	ने ब्रॉड गेज ट्रेनों को
बीमा	वृद्धि करता है	समाज में व्यक्ति के आत्म सम्मान व प्रतिष्ठा में
नासा	सूचना दी	ने निर्माण की
सुभाष चंद्र बोस	तबाह हो गए	थे जब एडॉल्फ हिटलर के टैंक सोवियत सीमा के पार चले गए थे
49 देश	सहित	उत्तरी अमेरिका
अंग्रेजों ने	स्थानांतरित कर दिया	ब्रिटिश छावनी को बैंगलोर में
कार्ल फ्रेडरिक	गॉस ने स्वतंत्र	रूप से कई महत्वपूर्ण प्रमेयों की फिर से
पाषाण युग	चला	लगभग 3.4 मिलियन वर्षों तक
मावेन अंतरिक्ष यान ने	पूरा किया	वैज्ञानिक प्रेक्षणों का एक पूर्ण मंगल वर्ष
संयुक्त राष्ट्र	वापस लेने पर विचार करेगा	विक्टोरिया जलप्रपात को विश्व विरासत स्थल का दर्जा
जॉन एडम्स	नहीं हैं	बहुत ज्यादा अन्यथा
मेक्सिको सिटी	है	में सरकार का पहला क़ानून
प्रथम महिला नैन्सी रीगन	अच्छा प्रदर्शन नहीं किया	ने अनुमोदन के मामले में अल्पसंख्यक समूहों, विशेष रूप से अफ्रीकी अमेरिकियों के साथ
लगभग 3.5%	बोलते थे	स्पेनिश
पश्चिम और दक्षिण-पूर्व एशिया की मुस्लिम सेनाओं	ने रुक-रुक आक्रमण किया	कर भारत पर
बांग्लादेश	करने के लिए	ऐसा
ब्रिटिश वायसराय लॉर्ड माउंटबेटन	की तारीख	15 अगस्त 1947
अरबिंदो घोष	की मृत्यु हो गई	1950 में
विराट कोहली	साझेदारी की	ने युवराज सिंह के साथ १२२ रनों की
यूट्यूब	स्विच किया	ने सभी उपकरणों पर एचटीएमएल 5 तकनीक पर
जॉन एडम्स	आरोप लगाया गया था	पर पागलपन और वैवाहिक बेवफाई का
ग्रेटा थुनबर्ग	अपलोड की	ने विरोध का समर्थन करने के लिए एक और टूलकिट
सैंटा क्लारा वैली	रही होगी	डॉट-कॉम बबल का केंद्र
सरकार	चुनी हुई	उस समय
पेरिस शहर में	है	एक विशिष्ट पश्चिमी यूरोपीय समुद्री जलवायु
सांता क्लारा वैली	काफी प्रभावित किया है	ने कंप्यूटर ऑपरेटिंग सिस्टम, सॉफ्टवेयर और यूजर इंटरफेस को
जॉन एडम्स	थे	फ्रेंकलिन के साथ
स्वामी विवेकानंद	प्रशिक्षित थे	भारतीय शास्त्रीय संगीत में
ZnO	बन सकता है	फेरोमैग्नेटिक
जम्मू और कश्मीर राज्य सरकार	बुलाती	कश्मीर अलगाववादियों को
बैंगलोर	बन गया था	ब्रिटिश भारत का छठा सबसे बड़ा शहर
वे	आरक्षित	विंडोज 10
युद्ध	समाप्त हुआ	शिमोनोसेकी की 1895 की संधि के साथ
प्रथम महिला नैन्सी रीगन	बचाया	ने 77 लोगों को
अल्बानिया	है	में तेल का काफी बड़ा भंडार
बैंगलोर	थे	में तमिल और तेलुगु बोलने वाले बहुत कम
लॉर्ड बायरन	जॉर्ज गॉर्डन बायरन का इस्तेमाल किया	ने दो प्रतिद्वंद्वी नेताओं को मनाने के लिए
पर रंग	काफी हद तक फीका पड़ जाता है	बकरी के बड़े होने
फ़िनलैंड	साझा करता है	स्वीडिश के साथ भूमि सीमाएँ
पाकिस्तान	जरूरत	को कश्मीर में लोगों को भड़काने की
फूलन देवी	थी	अनपढ़
अल्बानिया	है	का क्षेत्रफल
चीन	निगल ही लिया है	ने कुछ भाग
पाकिस्तान	चलाया	ने आजाद कश्मीर आंदोलन
ऑस्ट्रेलिया	हैं	में 100,000 से अधिक आदिवासी रॉक कला स्थल
फेडेरिको फेलिनी	छानबीन की	ने पूरे इटली में स्थानों की
उप-सहारा अफ्रीका का सबसे सूखा देश	सामना करता है	एक गैर-संचारी रोग के बोझ का
यरुशलम	थे	में तिबरियास और यरुशलम के आसपास के सभी यहूदी
डराए-धमकाए गए सीरियाई स्कूली बच्चे का प्रतिनिधित्व करने वाले ब्रिटिश सॉलिसिटरों	मुकदमा दायर किया	ने फेसबुक पर
तैमूर	लिया	ने अंकारा
थॉमस पेन	जन्म थॉमस पेन	8 जून, 1809) लंबे समय तक प्रकाशक बेंजामिन बाचे
आधिकारिक तौर पर इराक गणराज्य	भाग गया था	पड़ोसी तुर्की से
थॉमस पेन	स्थापना करते हुए	सैंडविच में एक दुकान की
अंडोरा	में मुख्य	रूप से ऊबड़-खाबड़ पहाड़
सुभाष चंद्र बोस	आजाद हिंद फौज का गठन किया	ने एक प्रयास में
ब्रॉडी वान वेगेनन आर्मस्ट्रांग वैराग्य	के महाप्रबंधक से मिला	न्यूयॉर्क
इस काल	है	को युग के नाम से जाना जाता
पुरातत्व या पुरातत्व	माना जा सकता है	को सामाजिक विज्ञान और मानविकी की एक शाखा दोनों
भारत	गया	146 रन से पिछड़
फ्री सॉफ्टवेयर	अलग है	से
वायरस, बैक्टीरिया	सहित	साल्मोनेला
अब्राहम लिंकन	थे	राज्य में
जोसेफ प्रिस्टले	लौट आए	घर
अब्राहम लिंकन	गुस्से में विरोध किया	जज के शुरुआती फैसले का
यूरोपीय संघ	भेजने के लिए	विपणन संदेश
माली साम्राज्य को	जाना जाने लगा	बोर्नू साम्राज्य के रूप में
में देवकी के साथ का	कृष्ण	"कृष्ण अवतार" के रूप
इरफान खान	लौट आए	भारत
हरा	का चेहरा है	गाले
एडॉल्फ हिटलर	काढ़ा करेगा	ब्रिटेन
