కనెక్టికట్ రాష్ట్రం	కేంద్రంగా ఉంది	తుపాకీ తయారీకి
లక్షద్వీప	నివాసులు	మొదట హిందువులుగా ఉండి తరువాత క్రీ శ
ముస్లింలు	అర్థం చేసుకున్నారు	జిహాద్‌ను
వీక్లీ	అనేది యొక్క	FIFA
ప్రణబ్ ముఖర్జీ	రాష్ట్రపతి	భారత
ఆస్ట్రేలియాలో	కూడా	జెనోఫోబియా, జాత్యహంకారం మరియు ఇస్లామోఫోబియా పెరుగుదల
జైనమతం	మినహాయించింది	శక్త - శైవ వ్యతిరేక రూపాలను మాత్రమే
ఆచార్య శాంతిసాగర్	ప్రవేశించాడు	బొంబాయిలో
హెన్రిచ్ హెర్మన్ రాబర్ట్ కోచ్	అధ్యయనం చేయడానికి	సహజ శాస్త్రాన్ని
మార్టినా హింగిస్	పేర్కొంటూ	చీలమండ గాయాలను
ఖతార్ చేర్చిన ప్రాంతాన్ని	లక్ష్యంగా	ప్రభుత్వం రాబోయే రెండు దశాబ్ధాల అభివృద్ధి
భాష	మాట్లాడే	జొరాస్ట్రియన్ మతస్తులు
అమెరికా	చేరుకుంది	స్పెయిన్ 19వ శతాబ్ధంలో ప్రస్తుత మధ్య అరిజోనా ప్రాంతాన్ని శోధించి
Qualcomm	అందించనుంది	US వెస్ట్‌కు 36,000 CDMA ఫోన్‌లను
UK	ప్రభుత్వం	UN యొక్క ప్రధాన న్యాయస్థానం యొక్క తీర్పుకు
బ్రిటీష్	వెతకడానికి దూకుడుగా బయలుదేరారు	భారతీయ జాతీయవాది మేడమ్ భికాజీ రుస్తోమ్ కామా కోసం
కార్ల్ ఫ్రెడరిక్ గౌస్,	అభ్యర్థించాడు.	కార్ల్ ఫ్రెడరిక్ గౌస్‌పై ఒక సాధారణ హెప్టాడెకాగన్‌ని లిఖించమని
పారిస్	తెలిపేందుకు	సంతాపం
బ్రిటిష్	నియమించాలని ప్రతిపాదించారు	మాజీ ఖైదీలను
టోర్రే లాటినోఅమెరికానా	మారింది	మెక్సికో నగరంగా
జాన్ ఆడమ్స్	చిత్రీకరించబడింది	ఒక డేగ వలె
చైనీయులు	సాధారణంగా	ఆసియన్లు కాని వారికి చైనీస్ మార్షల్ ఆర్ట్స్ టెక్నిక్‌లను బోధించడాన్ని వ్యతిరేకించారు
బౌద్ధమతానికి	అవసరం	గౌతమ బుద్ధుని అంగీకారం
బహ్రెయిన్	పెట్టుబడి పెడుతుంది	పరిశోధన మరియు అభివృద్ధిలో తక్కువ
అప్పగించింది	ఆజాద్ కాశ్మీర్ భూకంపాన్ని	భారత్‌కు
ముస్లింలు	చంపడానికి	మరియు అమెరికన్ల మిత్రులను చంపడానికి
నైజర్	కలిగి	మొత్తం చుట్టుకొలతను
ఫ్రెంచ్	స్థిరపడ్డారు	మారిషస్ దీవులలో
లుడ్విగ్ వాన్ బీథోవెన్	వెళ్లాడు	తాత్కాలికంగా వియన్నా శివారు ప్రాంతాలకు
స్వామి వివేకానంద	వెలిబుచ్చాడు	వచ్చిన సందేహాలన్నీ అనేక పండితుల ముందు
ది ఇండియన్ పీపుల్స్ థియేటర్ అసోసియేషన్	నిర్మించింది	మదర్ ఇండియాను
అడాల్ఫ్ హిట్లర్	శరవేగంగా సైనికంగా బలపడింది	జర్మనీలో
రాధికా ఆప్టే	నటించింది	మూడు నెట్‌ఫ్లిక్స్ ప్రొడక్షన్స్‌లో
చైనాటౌన్ నుండి వచ్చిన సిఫు యొక్క అన్ని పేర్లు	భయపెట్టవు	బ్రూస్ లీని
శ్రీనివాస రామానుజన్‌ను	చేర్పించారు	స్థానిక పాఠశాలలో
సబ్-సహారా ఆఫ్రికాలో అత్యంత పొడి దేశం	స్థానంలో ఉన్న	గ్లోబల్ ఫైర్‌పవర్ ఇండెక్స్‌లో 36వ
స్కైఫాల్	ఉండేది	US $ మరియు $ మధ్య
అక్బరు చక్రవర్తి	చేసాడు	కళలకు హద్దులు లేని సేవలు
అనిల్ కపూర్	కనిపించారు	ఎం.ఎస్.సత్యుల చిత్రంలో
DNA	కలిగి	ఒక సాధారణ నిర్మాణాన్ని
రష్యన్ ఫెడరేషన్	తీసుకోవాలి	కొసావో దృష్టాంతాన్ని పరిగణనలోకి
లక్సెంబర్గ్ - ఆధారిత స్కైప్ టెక్నాలజీస్ SA	కాదు	ఒక "ఇంటర్కనెక్టడ్ VoIP ప్రొవైడర్
లక్సెంబర్గ్	ఆధారిత	స్కైప్ టెక్నాలజీస్ SA వినియోగదారులు
అవామీ లీగ్ నాయకుడు షేక్ ముజిబుర్ రెహమాన్	తిరిగి	డక్కాను
శాన్ డియాగో నగరం మరియు కౌంటీ	పంచుకుంటుంది	మెక్సికోతో సరిహద్దును
మాజీ అధ్యక్షుడు బరాక్ ఒబామా	పరీక్షించబడ్డారు	పదవీ బాధ్యతలు స్వీకరించిన వెంటనే విదేశీ శక్తిచే
వివేకానంద	ఉటంకించారు	శివ మహిమ్నా స్తోత్రం నుండి రెండు దృష్టాంత భాగాలను
యుద్ధం	చేస్తుంది	యునైటెడ్ స్టేట్స్ ఆఫ్ అమెరికాను
విరాట్ కోహ్లీ	పరుగులు	48, 5
ఉత్తర స్పెయిన్‌లోని సిమా డి లాస్ హ్యూసోస్	చూపుతుంది	జీర్ణశయాంతర "ఎంటరోసైటోజోన్ బినెయుసి" ఇన్ఫెక్షన్ యొక్క రుజువును
చక్రవర్తి రాజగోపాలాచారి	చూపేవాడు	సామాజిక, రాజకీయ స్థితిగతులపై ఆసక్తి
ఫేస్‌బుక్	కూడా	చట్టాన్ని అమలు చేసే వారితో డేటాను
లూయిస్ పాశ్చర్	మాత్రమే	రాబర్ట్ కోచ్ పనిని
అరబిందో ఘోష్	సాధించారు	రాసిన బెంగాల్ ICS పరీక్షలో
విరాట్ కోహ్లీ	అంటే	మూఢనమ్మకం
బ్రిటిష్	విజయవంతంగా సవాలు	1780లో
ఫూలన్ దేవి	ఉంది	ఒక ఇటుకతో అపస్మారక
చైనా	స్థాపించింది	ఇస్లామిక్ రిపబ్లిక్‌ను
బెలారస్	అధికారికంగా రిపబ్లిక్ ఆఫ్ బెలారస్‌కు	2008 నుండి వాషింగ్టన్‌లో ఎప్పుడూ రాయబారి లేదు
అబ్రహం లింకన్	హాజరయ్యారు	బ్లూమింగ్టన్ కన్వెన్షన్‌కు
రంగు	గణనీయంగా	మేక వయసు పెరిగే
అభిషేకం	చేస్తారు	డైరెక్షన్‌ ఆధారంగా
స్వామి	మార్చాలని నిర్ణయించుకున్నారు	వివేకానంద శిథిలావస్థలో ఉన్న ఇంటిని
బెంగాల్ ప్రావిన్స్ లలో	ఉంది	పాకిస్తాన్
1827లో అబ్రహం తండ్రి	స్పష్టమైన బిరుదును పొందాడు	ఇండియానాకు
లక్సెంబర్గ్ - ఆధారిత స్కైప్ టెక్నాలజీస్ SA	యూనివర్సల్ స్టూడియోస్‌తో కలిసి	అందుబాటులో ఉన్న మోజిస్ సేకరణకు
భారత్	వెళ్లింది	క్రికెట్ ఆస్ట్రేలియాకు
ఫుజి పర్వతం యొక్క శిఖరం	కూడా	మూడు ద్వీపాల ఆర్క్‌ల సమీపంలో
అతివాద నాజీ పార్టీ	నేతృత్వంలోని	అడాల్ఫ్ హిట్లర్
లూయిస్ పాశ్చర్	ఉంచాడు	ఉడికించిన ద్రవాన్ని
అడాల్ఫ్ హిట్లర్	అందుకున్నాడు	మతకర్మలు
బస్రా మరియు కుఫా	తరువాత మారాయి	కైరోగా
ఏకైక రాజకీయ సంఘటన	పాల్గొన్న	జాన్ ఆడమ్స్
జమ్మూ కాశ్మీర్ రాష్ట్ర ప్రభుత్వం	సంస్కరించింది	గిల్గిత్-బాల్టిస్థాన్‌కు స్వయంప్రతిపత్తి ప్యాకేజీని
జోసెఫ్ ప్రీస్ట్లీ	పొందారు	మరొక స్థానాన్ని
అల్మోహద్‌ల సైన్యాధ్యక్షుడు	పాలించాడు	లిబియాను
ఐరోపా	సరిహద్దులుగా ఉంది	దక్షిణాన మధ్యధరా సముద్రం
జాన్ ఆడమ్స్	వేధించలేదు	సెనేటర్లను కుర్చీ నుండి
అనిల్ కపూర్	జననం 24 డిసెంబర్ 1956	కపూర్ కెరీర్ 1990 సంవత్సరం
లూయిస్ పాశ్చర్	ఎన్నికయ్యారు	అకాడెమీ నేషనల్ డి మెడిసిన్‌కు
మొఘల్ జనరల్ కాసిం ఖాన్	విక్రయించాడు	బెంగుళూరును
జాన్ ఆడమ్స్	పంచుకున్నాడు	దేవతలతో అనేక దృక్కోణాలను
మొదటి యూరోపియన్	చూసింది	విక్టోరియా జలపాతాన్ని
ఖలీఫా అబూ బకర్	తెలియజేసి ఉండాలి	ఓ ఉమర్‌కు
విరాట్ కోహ్లి	ముగించారు	చివరివరకూ ఆడి 71 పరుగుల వద్ద
అబ్రహం లింకన్	ఓడించాల్సిన అవసరాన్ని	శత్రు సైన్యాన్ని
రష్యన్ ఫెడరేషన్	జారీ చేయడం ప్రారంభించింది	అబ్ఖాజియా జనాభాకు పాస్‌పోర్ట్‌లను
పాంపీ	నేపథ్యంగా ఉంది	బ్రిటీష్ కామెడీ టెలివిజన్ ధారావాహికకు
బాధ్యత	రక్షించే	అండోరాను
కార్ల్ లిన్నెయస్‌కు	లేదు	ద్విపద వ్యవస్థ
ముహమ్మద్	ప్రవక్త	వారసునిగా
భారత్	ఓటమి పాలైంది	146 పరుగుల తేడాతో
కొబ్బరి నూనెను	ఉపయోగిస్తారు	మెత్తగాపాడిన
బాక్టీరియా	కలిగి	రూపంలో ప్రాథమిక రోగనిరోధక శక్తిని
సున్తీ	నిర్వహిస్తారు	ఒక మతపరమైన బాధ్యతగా
జపాన్	చొరబడగలిగింది	బంగ్లాదేశ్ దేశంలోకి
విదేశాంగ కార్యదర్శి బోరిస్ జాన్సన్	భర్తీ చేయడానికి ప్రయత్నించారు	నవంబర్ 2018 ఉపసంహరణ ఒప్పందంలోని భాగాలను
ఉప-సహారా ఆఫ్రికాలో	అవతరించింది	యురేనియం యొక్క అతిపెద్ద ఎగుమతిదారుగా
లింకన్ పరిపాలన	నియమించాలని ప్రతిపాదించింది	అబ్రహం లింకన్‌ను
ఉప-సహారా ఆఫ్రికాలో అత్యంత పొడి దేశం	విభజించబడింది	14 ప్రాంతాలుగా
రాధికా ఆప్టే	1985 సెప్టెంబర్ 7న జన్మించిన	తొలి హిందీ చిత్రం షోర్
కృష్ణా నది	పెంచుతుంది	నది నీటిలో క్షారతను
భారతదేశం	ఇంకా కోలుకుంటోంది	చైనా-ఇండియా యుద్ధం నుండి
లూయిస్ బ్రెయిలీని	పిలుస్తారు	బ్రెయిలీ అని
మాజీ సోవియట్ యూనియన్	మద్దతు ఇచ్చింది	నిరసనలకు
మిమోసా పుడికా	తగ్గిపోతుంది	శాకాహారుల నుండి రక్షణగా
సుభాష్ చంద్రబోస్	చేరారు	స్కాటిష్ చర్చి కాలేజీలో
జూడీ గార్లాండ్	నటించింది	డీన్నా డర్బిన్ సరసన
ఫిలడెల్ఫియా	ప్రారంభమవుతుంది	విల్మింగ్టన్‌కు దక్షిణంగా
Qualcomm	ప్రదర్శిస్తుంది	ల్యాప్‌టాప్ ప్రాసెసర్‌లు మరియు ఇతర భాగాలను
ప్రథమ మహిళ నాన్సీ రీగన్	మాట్లాడారు	బలమైన సైద్ధాంతిక కోణంతో
కల్పిత MI6 ఏజెంట్ జేమ్స్ బాండ్	అడ్డుకున్నాడు	MI6పై దాడిని
ఒసామా బిన్ లాడెన్	పోరాడుతున్నాడు	అమెరికా ప్రభుత్వంతో
భారతదేశాన్ని	మార్చింది	శ్రీలంక ప్రభుత్వం రాజధానిగా
ఆస్ట్రేలియా	ఆమోదించింది	1931 వెస్ట్‌మినిస్టర్ బ్రిటన్ శాసనాన్ని
ఆస్ట్రేలియా	వీక్షించింది	ది అల్ నూర్ మసీదు యొక్క ఆన్‌లైన్ పర్యటనను
బ్రూస్ లీ	తండ్రి	లీకి
స్టాంపులు	కూడిన	శ్రీనివాస రామానుజన్
సాయ్ ఇంగ్-వెన్	అభ్యసించారు	న్యాయశాస్త్రం
సగటు గ్రేడ్ సినిమా ప్రేక్షకులు	ఇచ్చారు	స్కైఫాల్
పర్డ్యూ ఏరో ఫ్లయింగ్ క్లబ్ విమానం	ప్రయాణించింది	భవిష్యత్తులో న్యూయార్క్ మెట్స్ జనరల్ మేనేజర్ బ్రాడీ వాన్ వాగెనెన్ ఆర్మ్‌స్ట్రాంగ్
బెంగుళూరు	కలుపుతుంది	నిలువు-అడ్డంగా గీత గీస్తే వచ్చే స్థానాలన్నిటినీ
Le Corbusier మరియు Ozenfant	ఏర్పాటు	కలిసి ఒక నిర్మాణ అభ్యాసాన్ని
స్వామి	వివేకానంద	రామకృష్ణులచే ప్రభావితమయ్యారు
అల్బేనియా	తగ్గించింది	గ్రీన్‌హౌస్ వాయు ఉద్గారాలను 45%
జోసెఫ్ ప్రీస్ట్లీ	తిరస్కరించాడు	ప్రీస్ట్లీ యొక్క మద్దతు అభ్యర్థనల కోసం పోటీపడుతున్న వివిధ రాజకీయ వర్గాలను
స్కైఫాల్	పేరు పెట్టలేదు	బడ్జెట్‌లో
భారత్	పర్యటించింది	బంగ్లాదేశ్‌లో
జోసెఫ్ ప్రీస్ట్లీ	కాదు	ఫ్రెంచ్ భాషలో నిష్ణాతులు
ఎడ్వర్డ్ జెన్నర్	కలిగి	మశూచికి క్రాస్-ఇమ్యూనిటీని
జాన్ ఆడమ్స్	హాజరయ్యేందుకు అంగీకరించాడు	సంకోచించే ఫ్రెంచ్‌తో సంపూర్ణ యుద్ధానికి
1919	తీసుకువచ్చింది	బెంగాల్ యొక్క అనేక ప్రసిద్ధ సాహిత్య రచనలను వేదికపైకి
లిబియా	పేరు	భాగానికి
కార్ల్ హెన్రిచ్ మార్క్స్	రాశాడు	జర్మన్ ఆలోచనాపరుడు ఫ్రెడరిక్ ఎంగెల్స్
జార్జ్ బెర్నార్డ్ షాకు	ఉన్నాయి	షావియనిజం యొక్క అన్ని గుర్తులు
బహ్రెయిన్	స్వాగతం పలికింది	రాజధాని మనామాకు వచ్చిన ఇజ్రాయెల్ క్యాబినెట్ సభ్యుడు యోస్సీ సరిద్‌కు
బృహస్పతి గ్రహం	కారణం కాదు	తోకచుక్కల సంఖ్య నికర తగ్గుదలకు
సోవియట్ యూనియన్	గుర్తించింది	చైనా కమ్యూనిస్ట్ పార్టీని
రాతి యుగం	ఐరోపా	శరీర నిర్మాణపరంగా ఆధునికమైనది లేదా దాదాపు ఆధునికమైనది
అల్బేనియా	పాల్గొంది	అన్ని ఆటలలో
ఇస్లాం మతం	విస్తరించింది	దేశమంతటా
అడాల్ఫ్ హిట్లర్	పేలవంగా చేశాడు	పాఠశాలలో
బ్రిటీష్ ప్రభుత్వం	బంధించింద	భారత జాతీయ కాంగ్రెస్ వర్కింగ్ కమిటీని
స్లమ్‌డాగ్ మిలియనీర్	గెలుచుకుంది	ప్రేక్షకుల అవార్డును
Facebook	ఏమీ చేయలేదు	లింగ సెట్టింగ్‌ను విస్తరించిన ఆటోమేటెడ్ సందేశాలను
టిప్పు సుల్తాన్	సుల్తాన్ ఫతే అలీ సాహబ్ టిప్పు	టైగర్ ఆఫ్ మైసూర్
అమెరికా	సంతకం	అమెరికా-పాకిస్థాన్ ఒప్పందంపై
బోరాన్	కనుగొనబడింది	అగ్నిపర్వత స్ప్రింగ్ నీటిలో
కాన్స్టాంటినోపుల్	మిగిలిపోయింది	గలాటా రాజధానిగా
వు యుజాంగ్	ఒప్పించేందుకు	మావో జెడాంగ్‌ను
క్లాసికల్ అరబిక్	నిర్దేశించబడింది	వాక్యనిర్మాణం మరియు వ్యాకరణ నిబంధనల ప్రకారం
మెక్సికో సిటీ	ఉత్పత్తి చేస్తుంది	యునైటెడ్ మెక్సికన్ స్టేట్స్ GDPలో 15.8 %
ఖతార్	లేదా	స్థానిక మాతృభాష ఉచ్చారణ ఖతార్ చట్టపరమైన పౌరుల రాష్ట్రం
భవిష్యత్తులో న్యూయార్క్ మెట్స్ జనరల్ మేనేజర్ బ్రాడీ వాన్ వాగెనెన్ ఆర్మ్‌స్ట్రాంగ్	పనిచేశారు	అనేక కంపెనీల డైరెక్టర్ల బోర్డులో
పాకిస్థాన్‌కు	తగిలింది	ఎదురుదెబ్బ
గ్యాంగ్‌స్టర్ ఇతిహాసం	పెంచింది	నవాజుద్దీన్
డెల్టా ఎయిర్ లైన్స్	చేయబడింది	క్యాబిన్ బ్రాండింగ్ అప్‌గ్రేడ్
ఎలెనా వెస్నినా	ఆడింది	దుబాయ్‌లో
ఎసిటిలీన్	ఏర్పరుస్తుంది	ఎసిటైలైడ్‌ను
సోవియట్ యూనియన్	ప్రతిపాదించింది	పశ్చిమ ఐరోపాకు గ్యాస్ లైన్‌ను
సింగపూర్ ఎయిర్‌లైన్స్	విజయం సాధించింది	20 ఏళ్లుగా
బెంగళూరు	మారింది	బ్రిటిష్ ఇండియాలో ఆరవ అతిపెద్ద నగరంగా
నాజీ జర్మనీని	చేరాయి	ఫిన్‌లాండ్ మరియు హంగేరీ త్వరలో
నాజీ జర్మనీ	బలవంతం	కార్మికులను
వర్ణవివక్ష తర్వాత దక్షిణాఫ్రికా	కలిగి	మొత్తం ప్రపంచంలో అత్యధిక నేరాల రేటును
లూయిస్ పాశ్చర్	ఎన్నికయ్యారు	అమెరికన్ ఫిలాసఫికల్ సొసైటీకి సభ్యునిగా
ఉష్ణోగ్రత	ఉంటుంది	ఎక్కువగా సౌర వికిరణం యొక్క సంభవం మీద ఆధారపడి
పండితులు	సాధారణంగా క్రెడిట్	నీరోకు
అండోరా	పోటీపడుతుంది	ఐరోపాలోని చిన్న రాష్ట్రాల ఆటలలో
బృహస్పతి గ్రహం	చేస్తుంది	ప్రస్తుతం
కోడలు కమలా నెహ్రూ	నిర్వహించింది	ప్రచారాన్ని
లార్డ్ బైరాన్	తిరిగి రావడానికి నిరాకరించాడు	హారోకు
హైడ్రోజన్ సల్ఫైడ్	కాల్చేస్తుంది	సల్ఫర్ డయాక్సైడ్ () మరియు నీటిని
ఆస్ట్రేలియా	పాల్పడుతోంది	తీవ్రవాద చర్యకు
Econet టెలికాం లెసోతో నుండి ఒక సేవ	విస్తరించింది	లెసోతోను
అలాస్కా	ఆక్రమించబడింది	వివిధ స్వదేశీ ప్రజలచే
అనిల్	కపూర్	అద్భుతంగా నటించాడు
జనరల్ జాన్ పోప్	సంతృప్తిపరిచారు	అబ్రహం లింకన్‌ను
గురు తేజ్ బహదూర్	తర్వాత	గురు తేజ్ బహదూర్ వచ్చాడు
భవిష్యత్ న్యూయార్క్ మెట్స్ జనరల్ మేనేజర్ బ్రాడీ వాన్ వాగెనెన్ ఆర్మ్‌స్ట్రాంగ్	నడిపారు	200 కంటే ఎక్కువ రకాల విమానాలను
లిన్	డాన్‌కు	దక్షిణ కొరియా కోచ్ లీ మావో ఛాంపియన్‌గా
వెస్ట్	వర్జీనియా	రిచ్‌మండ్‌ను సమాఖ్య రాజధానిగా ప్రకటించింది
జాన్ ఆడమ్స్	కాకూడదు	బోర్డ్ ఆఫ్ వార్ అండ్ ఆర్డినెన్స్ అధిపతి
జాన్ ఆడమ్స్	ఉండకూడదు	ఒక ప్రణాళికతో
రాధికా ఆప్టే	పెరుగుతోంది	పూణేలో
యూరోపియన్ యూనియన్‌కు	నేతృత్వం వహించారు	వాల్టర్ హాల్‌స్టెయిన్
చరిత్రకారులు	పరిగణిస్తారు	భారతదేశాన్ని
ఫిన్లాండ్	అందిస్తోంది	ముడి పదార్థాలను
హెక్సేను	త్వరగా	మండె లక్షణం
సోరియాసిస్	సంభవించవచ్చు	ఏ వయస్సులోనైనా
అధాన్	బిగ్గరగా చదవబడుతుంది	మసీదు నుండి
ముస్లింలీగ్ రాజకీయ పక్షం	అంగీకరించారు	డిమాండ్లను
భారతదేశ తీరప్రాంతం భారతదేశం	అధికారికంగా	రిపబ్లిక్ ఆఫ్ ఇండియా
నికోలస్ కోపర్నికస్	స్వతంత్రంగా కనుగొనగలిగారు	టుసి
జాన్ ఆడమ్స్	కూర్చోలేదు	తొంభై కమిటీలలో
ఇథియోపియా	సరిహద్దు	ప్రాంతం
స్లమ్‌డాగ్ మిలియనీర్	విస్తరించింది	32 థియేటర్లకు
క్యూటెమోక్ కార్డెనాస్	పరిపాలించడానికి	మెక్సికో నగరాన్ని
శ్రీనివాస రామానుజన్	లెక్కించారు	ఆయిలర్-మాస్చెరోని స్థిరాంకాన్ని 15 దశాంశ స్థానాల వరకు
DNA	ఎన్కోడ్	తీవ్రమైన అక్యూట్ రెస్పిరేటరీ సిండ్రోమ్‌ను
మహ్మద్ జమాల్	సన్నిహిత కళాశాల స్నేహితుడు	ఒసామా బిన్
నిరుద్యోగాన్ని	సాధారణంగా విభజించవచ్చు	అనేక రకాలుగా
పాకిస్థాన్ ప్రభుత్వం	సాధించింది	స్పష్టమైన పైచేయి
వరల్డ్ వైడ్	వెబ్	మరింత ప్రజాదరణ
మిస్సిస్సిప్పి నదికి పశ్చిమాన ఉన్న మిన్నెసోటా	ఉంది	అసంఘటిత ప్రాంతంలో
ఫూలన్ దేవి	నిర్వహించారు	"ధర్నా"
స్వామి వివేకానంద	కూర్చుని	స్నేహితులతోపాటు ఒక మూలన
ఒరాకిల్ సిస్టమ్స్ కార్పొరేషన్	చేసింది	నమ్మశక్యం కాని వ్యాపార పొరపాటు
దక్షిణాన ఒక US కోట	చూపించింది	అబ్రహం లింకన్‌ను
మహాత్మా గాంధీ	ఉపవాస దీక్ష	ఈ అవార్డుకు రద్దు చేయమని బ్రిటన్ ఒప్పించడానికి
జార్జ్ బెర్నార్డ్	షా	నియంతృత్వ పద్ధతుల పట్ల ఆకర్షితుడయ్యాడు
లుడ్విగ్ వాన్ బీథోవెన్	పడ్డాడు	చిన్న కుమార్తెతో ప్రేమలో
ఆ కంపెనీలు	కొనుగోలు చేశాయి	ఒరాకిల్ సిస్టమ్స్ కార్పొరేషన్‌ను
వర్గీస్ కె	యొక్క పొలిటికల్ ఎడిటర్	ది
అంకారా	అనేది	పురాతన మరియు ఆధునిక నిర్మాణ శైలుల ఆకట్టుకునే కలయిక
మహిళ	మహిళ నాన్సీ రీగన్ సడలించడానికి ప్లాన్	చట్టం పరిమితులను
అబ్రహం లింకన్	నియమించడానికి	నల్లజాతి దళాలను
మైసూరు నగరం	మొదలయ్యింది	భూగర్భ డ్రైనేజి సదుపాయం
అమెరికా సంయుక్త రాష్ట్రాలు	పొందింది	హిబ్రూ భాషీయుల సంఖ్యలో రెండవ స్థానాన్ని
అబూ బకర్	అణచివేయవలసి వచ్చింది	అరబ్ తెగల తిరుగుబాటును
సాయ్ ఇంగ్-వెన్	నియమితులయ్యారు	మాజీ ప్రీమియర్ సు త్సెంగ్ ఆధ్వర్యంలో వైస్ ప్రీమియర్‌గా
లీగ్ ఆఫ్ నేషన్స్	మారింది	ప్రాణాంతక శిబిరాల "వాస్తవ" వ్యవస్థగా
బ్రిటీష్	ఉంచారు	నగరం యొక్క పరిపాలనను
స్వీడన్ పబ్లిక్ హెల్త్ ఏజెన్సీ	ఇష్టపడింది	తెరిచి ఉంచడానికి
బ్రూస్ లీ	ప్రారంభించాడు	ఫ్లెక్సిబిలిటీ కోసం
ఓ ఉమర్‌ను	అందుకున్నారు	అబూ ఉబైదా ఇబ్న్ అల్ - జర్రా
ముస్లింలు	అవసరం	పాశ్చాత్య ప్రభావాల నుండి ఇస్లామిక్ ప్రపంచం నుండి బయటపడటానికి
మెక్సికో సిటీలో	ఉంది	అనేక IMAX
ప్రథమ మహిళ నాన్సీ రీగన్	మరణించారు	10 సంవత్సరాల అల్జీమర్స్ వ్యాధితో
మాక్స్ బోర్న్	కలిగి	ప్రాథమిక శాస్త్రీయ భావనలపై భాగస్వామ్య అభిప్రాయాలతో సహకారిని
స్వామి వివేకానంద	ప్రారంభించాడు	నెమ్మదిగా ప్రాపంచిక సుఖాలపై వ్యామోహం తగ్గి సన్యాసం వైపు మొగ్గు చూపడం
అబ్రహం లింకన్	విజ్ఞప్తి చేశారు	జాతీయవాద, రిపబ్లికన్, సమతావాద, స్వేచ్ఛావాద మరియు ప్రజాస్వామ్య భావాలకు
ఆల్టా కాలిఫోర్నియా	సహా	శాన్ డియాగో రాష్ట్ర చట్టంతో
ఆధునిక ఇరాన్	స్వాధీనం చేసుకుంది	చమురును
ఇంగ్లీష్	వివిధ	ప్రధాన పర్యాటక రిసార్ట్‌లలో
టిప్పు సుల్తాన్	చూపుతున్నాడు	ఈ ప్రాంతంలోని మసీదులపై ప్రత్యేక శ్రద్ధ
ఆస్ట్రేలియా	వ్యక్తం చేయడం ప్రారంభించింది	చిన్నప్పటి నుండి జాత్యహంకార ఆలోచనలను
రామకృష్ణుడు	వెళ్ళాడు	అమెరికా
పూణేను	కూడా అంటారు	ఆక్స్‌ఫర్డ్ ఆఫ్ ది ఈస్ట్ అని
ఈతని	నమోదు కాబడ్డాయి	చరిత్రలో
సున్న	అంటే	శూన్యము అంటే ఏ విలువ లేకపోవడము
జోసెఫ్ ప్రీస్ట్లీ	దోషపూరితంగా చెప్పగలడు	షార్టర్ కాటేచిజం యొక్క మొత్తం 107 ప్రశ్నలు మరియు సమాధానాలను
లూసియానా ఫ్రెంచ్	కావచ్చు	భవిష్యత్తు భాష
జార్జ్ హెర్బర్ట్ వాకర్ బుష్	చేర్చబడ్డాడు	వరల్డ్ గోల్ఫ్ హాల్ ఆఫ్
1928	తర్వాత	చార్లెస్ - ఎడ్వర్డ్ జీన్నెరెట్ సిద్ధాంతాల ప్రచురణ
51.89 శాతం	అనుకూలంగా ఓటేశారు	యూరోపియన్ యూనియన్
జూడీ గార్లాండ్	ఆలపించారు	ప్రత్యేక అమరికను
Windows10	సృష్టించడానికి	బలమైన అసమాన కీ జతలను
నీటి మిగులు గోదావరి నది	కొనసాగుతోంది	గొప్ప సాంస్కృతిక వారసత్వంగా
బ్రిటిష్ బలగాలు	ఆక్రమించాయి	షాంఘైని
కేంబ్రిడ్జ్ విశ్వవిద్యాలయం	ప్రారంభించింది	కేంబ్రిడ్జ్ రింగ్ ను అభివృద్ధి చేయడం
జూడీ గార్లాండ్	జన్మించాడు	ఫ్రాన్సిస్ ఎథెల్ గమ్
ముహమ్మద్	బిరుదును ప్రసాదించాడు	అబిస్సీనియాకు
జార్జ్ హెర్బర్ట్ వాకర్ బుష్	ఓటు	పౌర హక్కులకు
స్పానిష్	ఎక్కువగా మాట్లాడతారు	(ప్రత్యేకంగా, అమెరికన్ ఇంగ్లీష్
ప్రభుత్వం	బంగ్లాదేశ్	1971లో బంగ్లాదేశ్ సార్వభౌమ దేశంగా ఆవిర్భవించింది
డౌగ్ స్ట్రాస్లర్	వివరించాడు	జూడీ గార్లాండ్
లార్డ్ బైరాన్	అయ్యాడు	హీరో
సుభాష్ చంద్రబోస్	నిలిచారు	ద్వితీయ స్థానంలో
జాన్ ఆడమ్స్	విశ్వసించలేదు	సాధారణ చర్చి సేవ మనిషి యొక్క నైతిక భావానికి ప్రయోజనకరంగా ఉంటుందని
విరాట్ కోహ్లి	76 పరుగులు మాత్రమే చేశాడు	షార్ట్ బాల్‌కు
ఓటు వేయడం వల్ల కలిగే నష్టాలు	నిష్క్రమించడానికి	యూరోపియన్ యూనియన్
జోసెఫ్ ప్రీస్ట్లీని	అడిగారు	లూనార్ సొసైటీలో చేరమని
ప్రపంచ యూదులు	వ్యతిరేకించారు	ఇస్లాంను
సోవియట్ యూనియన్	చేసింది	పాకిస్తాన్ పట్ల సానుభూతితో కూడిన సంజ్ఞలు
అలాస్కా	అధికారికంగా	రాష్ట్రంగా
